起点城市,香港,澳门,广州,深圳,珠海,佛山,惠州,东莞,中山,江门,肇庆
香港,4260.449507247613,436.56719502766424,644.3865412042194,786.8280557755238,764.8237043711679,47.80295940574512,405.56522965463193,2320.0950997738855,762.3553323628088,416.40240232773635,282.516061580145
澳门,680.6814451697184,2720.1571380730297,499.2720192963992,1401.2449208067612,152.27256363692373,267.0199458580646,168.58893556580398,490.7594378443908,518.8670940179493,213.72517488585734,113.15787740065915
广州,1189.475565340868,241.26705176940908,4051.142700112675,968.2643301080413,959.1423390097269,771.9690252562399,248.02677084006302,1152.3158063202318,204.16736242767095,169.20417894245048,106.66165881905368
深圳,620.751198971958,342.9637651072159,1450.4720118130497,7233.603119044404,209.8449512500838,1488.0702211070266,702.0098485519079,2887.097498115706,426.84619635136505,937.9855754867267,273.96745549493386
珠海,353.7686521167162,59.18086856284784,479.6857596664125,258.90246323653514,5664.315876227209,298.1267454885678,141.71801473885577,617.6805367210412,121.7839807781172,114.34003450019006,102.24353952021158
佛山,1218.5159016283967,276.5467143353436,1784.3210912142795,1477.1078724284139,240.44810797449617,2234.6733108361313,316.92872938520753,428.92076520086243,358.5306348688818,190.874487306885,222.9467873690515
惠州,551.9722555890502,224.45797725301506,279.20489168424086,61.89043501980496,475.84108831746244,111.65229451780661,2133.0882641645944,346.4465649404195,305.562594225788,39.005398083379276,116.78309027423659
东莞,1338.8893905489667,1005.6930535223196,672.404358958211,905.5962183192008,141.8807662846956,740.0914891176985,560.4378635520054,3089.940334886434,231.51241519530873,75.84918674215876,384.5876041693306
中山,499.6974865570528,211.28096273706677,646.2480915069382,1187.4255803458643,324.76743905943715,493.39102136886913,191.95536970283754,70.56350883280395,1789.3208190127025,136.5541598288455,55.77659951622286
江门,782.0119933934993,186.13912034842025,378.3906283237306,676.7838605103595,141.1060271021997,270.5510307048264,166.09143173844208,224.17429992962454,30.455710158457183,2241.6976309167517,189.5602812124815
肇庆,400.6312603071199,94.61315488693714,145.47014642799812,895.3801180206842,74.52742156993732,187.79908185159468,104.58221279046808,160.23091978609042,55.71350597862448,33.519100771808404,3887.934948392048
