,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
数据中心数量,0.2532195969937433,-0.05316505020714019,-0.25418839385604064,0.22040687609908954,0.003357635309661636,-0.26302454308980083,0.2508755316144954,-0.04101979826075755
数据中心机架数,0.22261036968315523,-0.12917133367840108,-0.14703276102663246,0.34670138525979577,0.17905991232867763,-0.3655262460384284,0.20635259985672963,-0.03236231130379575
数据中心PUE,0.010471666769016483,0.09975790091322613,-0.34285232018239975,0.5209898987183914,-0.07118287740521183,0.3756137722566694,-0.38862229306417917,0.28394056425680725
互联网国际出口带宽_Gbps,0.27887544413800575,-0.007972982648936084,-0.00846680624404275,-0.12185689962047098,-0.0072254847050722115,-0.04852334697487985,-0.03195667882311742,-0.006426380012040695
互联网内地出口带宽_Gbps,0.25679552454919813,-0.18459812874043613,-0.1479656504291048,-0.20591524246706033,0.09834363174900623,-0.1799246252183982,-0.05744655596834969,0.20735463067728016
IaaS使用量_万核时,0.207269388520716,0.09266423227361616,-0.22306070605109887,0.18829591237061397,0.3808787660374158,-0.09812133807488302,-0.03708106698764567,-0.29894460258346567
PaaS使用量_万次调用,0.20894948464662252,-0.22301471321356328,0.13156425161383695,-0.07183670926302527,0.21332840929460234,-0.002663884726277372,-0.1731025393365753,0.5432845319239391
SaaS活跃用户数_万,0.21995519952780146,0.007694985203388697,0.12978046879553132,0.2405438124820612,-0.24560774700808186,0.24453882268889435,0.16285473081569476,-0.18008498040281562
跨境数据传输总量_TB,0.22763583438851076,0.43180570278368025,0.16678083963489476,0.06359637287627816,-0.09566054713848558,-0.09696839807879266,-0.06285778475379661,0.11606227128372307
入境数据量_TB,0.22744939597854036,0.42711273025793256,0.15544246296966407,0.08343911684017488,-0.10712066699407037,-0.1112035593050208,-0.05533815749481229,0.12327811461696701
出境数据量_TB,0.22637904545732113,0.4338909048277066,0.1773971674156609,0.04275482156261327,-0.08324849955001766,-0.0816899073357632,-0.07020246692931707,0.10789171470095621
数据交易额_亿元,0.18030674093423626,-0.29599244035954314,0.44742426050083445,0.2612338458076443,0.049989338464191735,0.1408247013242535,-0.042552801351328,-0.07258991957462568
数据交易笔数_万笔,0.17046780777010706,-0.3224088492219867,0.4525331038028356,0.21377558829806695,0.07177252975331667,0.13674619268270233,-0.03803044019476542,-0.06506297150033276
数据资产登记数_个,0.28663533279967823,-0.1006402409229093,0.011286770211936427,-0.11903158505838746,0.0266237949291104,0.02492891173268873,0.009568105406499659,0.15350339487567782
区块链存证量_万条,0.21997426164010633,-0.20383008082558482,-0.3039210724850513,-0.13550376459441288,-0.11708079213514713,0.015346548905525201,-0.36751429818835285,-0.01005554032765378
数据安全认证企业数,0.2924687813857117,0.0033444357820627134,-0.09810767525917487,-0.1503196942398467,0.1396653279933319,0.030094210711197517,0.07514079813106952,-0.061095524286520854
数据出境评估申请数,0.23633150356292956,-0.00403379349520228,0.0380075169407305,-0.21159380128696859,-0.2954505992016706,0.04893319147899179,0.3730356244071655,-0.04062337224896695
政务API调用量_亿次,0.1640028673729098,0.15776172412638909,0.13806370320374092,-0.3871224863896743,0.3203067933083295,0.15103598490841613,-0.32950325702786176,-0.24190717914303742
金融API调用量_亿次,0.10654275846009578,0.1798238459922304,-0.15822591117173582,-0.014119946658668527,0.44036709492267406,0.5893671061547123,0.3340261873212674,-0.0655868909664889
医疗API调用量_亿次,0.1880189844893093,-0.10863767003585027,-0.20329322396926777,-0.16519300976810697,-0.3664118204870769,0.33086382029468003,0.2246242706583286,0.21181813452995804
电商API调用量_亿次,0.2135216823810897,-0.09264576588580814,-0.11373343480685381,-0.0058104357308503395,-0.3391710824521466,0.03456246027115247,-0.33986682560712606,-0.5197191424773814
